Stranding ID,Period,Season,Condition,INOFF,LatDD,LongDD,SCL (cm),SizeClass,Number of Trash Items,Mass of Trash Items
20190528BNN06,2019,Spring,Fresh Dead,Offshore,27.61392,-97.20213,30.7,Recruit,4,0.01
20190515MNA01,2019,Spring,Fresh Dead,Offshore,26.8917,-97.3681,30.7,Recruit,3,0.08
20191121KEL03,2019,Fall,Fresh Dead,Offshore,26.05615,-97.152047,31.6,Recruit,0,0
20191123NAN09,2019,Fall,Fresh Dead,Offshore,26.062928,-97.150514,32.3,Recruit,0,0
20191122KBJ01,2019,Fall,Fresh Dead,Offshore,26.133391,-97.167796,33,Recruit,0,0
20190227AKT01,2019,Winter,Fresh Dead,Offshore,27.802412,-97.076723,33.1,Recruit,2,0.001
20191121KEL04,2019,Fall,Fresh Dead,Offshore,26.061565,-97.151005,33.9,Recruit,1,0.01
20191123NAN16,2019,Fall,Fresh Dead,Offshore,25.966444,-97.146948,35.2,Transitional,0,0
20191106RLL03,2019,Fall,Fresh Dead,Offshore,25.96477,-97.14758,35.3,Transitional,0,0
20191123NAN18,2019,Fall,Fresh Dead,Offshore,25.967946,-97.14758,35.6,Transitional,5,0.16
20190310CTG01,2019,Spring,Fresh Dead,Offshore,26.100701,-97.162596,36.7,Transitional,0,0
20190706GLH01,2019,Summer,Fresh Dead,Offshore,26.59375,-97.28838,37.1,Transitional,1,0.001
20191122MAD10,2019,Fall,Fresh Dead,Offshore,26.01512,-97.151703,38.3,Transitional,0,0
20190118MAP01,2019,Winter,Fresh Dead,Offshore,27.6280675,-97.1952319,39.5,Transitional,2,0.001
20191028CTG01,2019,Fall,Fresh Dead,Offshore,26.082826,-97.158982,39.9,Transitional,0,0
20191121MAD02,2019,Fall,Fresh Dead,Offshore,25.9715,-97.1482,47.7,Subadult,0,0
20190206MRV01,2019,Winter,Fresh Dead,Offshore,27.52314,-97.25063,49.7,Subadult,0,0
20190502JWT02,2019,Spring,Fresh Dead,Offshore,27.804769,-97.074185,52.5,Subadult,73,0.93
20190410RKT01,2019,Spring,Fresh Dead,Offshore,27.813585,-97.067743,53.4,Subadult,7,0.11
20190131MAP01,2019,Winter,Fresh Dead,Offshore,27.7843065,-97.0917938,56.5,Subadult,5,0.37
20191027AMO01,2019,Fall,Fresh Dead,Offshore,27.834066,-97.042856,58.6,Subadult,0,0
20190328AMO01,2019,Spring,Fresh Dead,Offshore,27.833466,-97.046318,58.7,Subadult,1,0.001
20191121KEL01,2019,Fall,Fresh Dead,Offshore,26.039147,-97.152953,59.7,Subadult,0,0
19871018AFA01,1987-1999,Fall,Moderate Decomposition,Offshore,27.83333333,-97.045,33.7,Recruit,3,0.06
19871205AFA02,1987-1999,Winter,Moderate Decomposition,Offshore,27.815,-97.06666667,41.9,Transitional,0,0
19870627AFA01,1987-1999,Summer,Moderate Decomposition,Offshore,27.67833333,-97.16666667,52.2,Subadult,0,0
19880626EXM01,1987-1999,Summer,Moderate Decomposition,Offshore,27.18333333,-97.375,26.5,Recruit,8,0.1
19880429PXP01,1987-1999,Spring,Moderate Decomposition,Offshore,27.675,-97.16666667,27.8,Recruit,6,0.38
19880527LXS01,1987-1999,Spring,Moderate Decomposition,Offshore,27.48333333,-97.26666667,30.4,Recruit,8,0.29
19880417AFA02,1987-1999,Spring,Moderate Decomposition,Offshore,27.82666667,-97.38333333,40.2,Transitional,0,0
19891221RXM01,1987-1999,Winter,Moderate Decomposition,Offshore,27.38333333,-97.31666667,22.271,Pelagic,4,0.04
19940325AFA01,1987-1999,Spring,Moderate Decomposition,Offshore,27.63,-97.195,28,Recruit,4,0.03
19951218DXH01,1987-1999,Winter,Moderate Decomposition,Offshore,26.16666667,-97.08333333,20,Pelagic,46,7.37
19950228DXH01,1987-1999,Winter,Moderate Decomposition,Offshore,26.105,-97.15,36.9,Transitional,0,0
19951231AFA01,1987-1999,Winter,Moderate Decomposition,Offshore,27.84166667,-97.05,41.8,Transitional,0,0
19960707GXP01,1987-1999,Summer,Moderate Decomposition,Offshore,26.07,-97.155,24.2,Pelagic,0,0
19961223AFA01,1987-1999,Winter,Moderate Decomposition,Offshore,27.795,-97.08166667,31.8,Recruit,0,0
19970719KXJ01,1987-1999,Summer,Moderate Decomposition,Offshore,27.26833333,-97.35,20,Pelagic,14,0.74
19970222KXJ01,1987-1999,Winter,Moderate Decomposition,Offshore,27.17166667,-97.37,34,Recruit,0,0
19970126AFA02,1987-1999,Winter,Moderate Decomposition,Offshore,27.825,-97.05666667,34.5,Recruit,0,0
19971105JAM01,1987-1999,Fall,Moderate Decomposition,Offshore,26.57666667,-97.28,39.7,Transitional,0,0
19980401DJS01,1987-1999,Spring,Moderate Decomposition,Offshore,26.91333333,-97.37166667,25.8,Recruit,0,0
19980330CCS02,1987-1999,Spring,Moderate Decomposition,Offshore,27.05833333,-97.37833333,27.3,Recruit,23,0.42
19980520DXS01,1987-1999,Spring,Moderate Decomposition,Offshore,26.84,-97.35833333,28.2,Recruit,22,3.32
19980704DJS02,1987-1999,Summer,Moderate Decomposition,Offshore,27.26833333,-97.35,30.2,Recruit,6,0.14
19980805PXB01,1987-1999,Summer,Moderate Decomposition,Offshore,27.47,-97.27666667,81.3,Subadult,0,0
20000320CXV01,2000-2009,Spring,Moderate Decomposition,Offshore,27.29,-97.345,27.7,Recruit,3,0.25
20000204HXB04,2000-2009,Winter,Moderate Decomposition,Offshore,26.54166667,-97.265,36.7,Transitional,2,0.14
20000511JXJ01,2000-2009,Spring,Moderate Decomposition,Offshore,27.36666667,-97.32,37.7,Transitional,0,0
20071117AFA01,2000-2009,Fall,Moderate Decomposition,Offshore,27.8344,-97.0446,25.4,Recruit,31,0.9
20070617AFA01,2000-2009,Summer,Moderate Decomposition,Offshore,27.7859,-97.0905,26.3,Recruit,5,0.06
20070403AFA01,2000-2009,Spring,Moderate Decomposition,Offshore,27.8011,-97.07742,29.9,Recruit,3,0.001
20070710MPH01,2000-2009,Summer,Moderate Decomposition,Offshore,27.6109,-97.2045,30.9,Recruit,0,0
20071201CXM02,2000-2009,Winter,Moderate Decomposition,Offshore,27.8256,-97.0553,33.5,Recruit,60,0.92
20070208LGS01,2000-2009,Winter,Moderate Decomposition,Offshore,26.0618,-97.151,39.2,Transitional,0,0
20080607AFA01,2000-2009,Summer,Moderate Decomposition,Offshore,27.614,-97.2023,27.9,Recruit,0,0
20080311NCD01,2000-2009,Spring,Moderate Decomposition,Offshore,26.0586,-97.1519,28,Recruit,9,0.69
20080702AFA01,2000-2009,Summer,Moderate Decomposition,Offshore,27.6118,-97.2017,31.1,Recruit,3,0.02
20080306AFA01,2000-2009,Spring,Moderate Decomposition,Offshore,27.7886,-97.0881,32.3,Recruit,2,0.04
20080701AFA01,2000-2009,Summer,Moderate Decomposition,Offshore,27.8317,-97.0485,62.2,Subadult,7,0.33
20090425JAH01,2000-2009,Spring,Moderate Decomposition,Offshore,27.0379,-97.3793,13.8,Pelagic,0,0
20090528AMW01,2000-2009,Spring,Moderate Decomposition,Offshore,27.509,-97.258,25,Recruit,6,0.03
20090205AFA01,2000-2009,Winter,Moderate Decomposition,Offshore,27.829,-97.0516,27.2,Recruit,0,0
20090223AFA01,2000-2009,Winter,Moderate Decomposition,Offshore,27.7648,-97.1069,35.3,Transitional,14,0.14
20090126AFA01,2000-2009,Winter,Moderate Decomposition,Offshore,27.73,-97.1313,37.4,Transitional,6,0.04
20090401AFA02,2000-2009,Spring,Moderate Decomposition,Offshore,27.7157,-97.142,42.8,Transitional,0,0
20090115LGS01,2000-2009,Winter,Moderate Decomposition,Offshore,26.1641,-97.1718,42.9,Transitional,4,0.03
20090224AFA01,2000-2009,Winter,Moderate Decomposition,Offshore,27.7427,-97.1231,46,Subadult,0,0
20190302AMG02,2019,Spring,Moderate Decomposition,Offshore,27.43351,-97.29359,20.6,Pelagic,5,0.1
20190513RMW02,2019,Spring,Moderate Decomposition,Offshore,27.371467,-97.318022,22.4,Pelagic,27,0.64
20190420NKM01,2019,Spring,Moderate Decomposition,Offshore,27.58181,-97.21968,23.1,Pelagic,26,0.48
20190327MAP01,2019,Spring,Moderate Decomposition,Offshore,27.621272,-97.198975,23.3,Pelagic,43,0.51
20190422LES01,2019,Spring,Moderate Decomposition,Offshore,26.106386,-97.163213,23.8,Pelagic,57,1.68
20190405AMO02,2019,Spring,Moderate Decomposition,Offshore,27.789723,-97.08701,23.9,Pelagic,4,0.04
20190416AMM01,2019,Spring,Moderate Decomposition,Offshore,25.96133,-97.1475419,24.8,Pelagic,13,0.4
20190414EQY01,2019,Spring,Moderate Decomposition,Offshore,25.9614,-97.1475,25.3,Recruit,25,0.71
20190604ALC01,2019,Summer,Moderate Decomposition,Offshore,27.36962,-97.31902,25.8,Recruit,35,1.12
20190423EQY01,2019,Spring,Moderate Decomposition,Offshore,26.0317,-97.1528,25.8,Recruit,35,1.66
20190414EQY03,2019,Spring,Moderate Decomposition,Offshore,26.0323,-97.1529,25.8,Recruit,25,0.62
20190423EQY02,2019,Spring,Moderate Decomposition,Offshore,25.9716,-97.1481,26,Recruit,33,1.49
20190421TNS01,2019,Spring,Moderate Decomposition,Offshore,27.19521,-97.36588,26,Recruit,114,7.83
20190709LES01,2019,Summer,Moderate Decomposition,Offshore,26.067124,-97.153291,26.2,Recruit,2,0.08
20190422LES02,2019,Spring,Moderate Decomposition,Offshore,26.075355,-97.156713,26.3,Recruit,2,0.02
20190415ELP03,2019,Spring,Moderate Decomposition,Offshore,26.0471,-97.1527,26.3,Recruit,5,0.03
20190731MSD01,2019,Summer,Moderate Decomposition,Offshore,25.957853,-97.146677,26.5,Recruit,2,0.02
20190905REW01,2019,Fall,Moderate Decomposition,Offshore,27.60575,-97.207734,26.6,Recruit,22,0.23
20190531TNS03,2019,Spring,Moderate Decomposition,Offshore,27.32942,-97.33259,27,Recruit,11,0.35
20190412JDP01,2019,Spring,Moderate Decomposition,Offshore,26.0012,-97.1508,27.3,Recruit,14,0.52
20190920NAN01,2019,Fall,Moderate Decomposition,Offshore,26.120992,-97.165773,27.4,Recruit,0,0
20190519PCF01,2019,Spring,Moderate Decomposition,Offshore,27.614065,-97.201961,27.5,Recruit,37,0.82
20191124NAN10,2019,Fall,Moderate Decomposition,Offshore,26.029365,-97.153673,28.3,Recruit,0,0
20191130NAN01,2019,Fall,Moderate Decomposition,Offshore,25.961696,-97.146361,28.4,Recruit,1,0.001
20190519LES01,2019,Spring,Moderate Decomposition,Offshore,26.084,-97.15929,28.4,Recruit,1,0.05
20191124NAN17,2019,Fall,Moderate Decomposition,Offshore,25.97698,-97.148228,29.7,Recruit,0,0
20191123NAN04,2019,Fall,Moderate Decomposition,Offshore,26.054505,-97.152385,31.3,Recruit,1,0.001
20190625AMM03,2019,Summer,Moderate Decomposition,Offshore,26.064364,-97.147417,31.6,Recruit,0,0
20191210MAD01,2019,Winter,Moderate Decomposition,Offshore,26.029712,-97.152568,31.9,Recruit,8,0.06
20191124NAN06,2019,Fall,Moderate Decomposition,Offshore,26.03492,-97.154357,31.9,Recruit,0,0
